,Emblem_ID,Emblem_Motto,Publication_Date,Iconclass_Heading_1,Iconclass_Heading_2,Iconclass_Heading_3,Iconclass_Heading_4,Iconclass_Heading_5,Iconclass_Heading_6,Iconclass_Heading_7,Published_In,URL_for_Book_Details,iconclasses,is_animal
39,E016182,Friede ernährt.,1695,"25F23(LION) beasts of prey, predatory animals: lion","25F23(WOLF) beasts of prey, predatory animals: wolf",31D15 adult woman,"44A51(ETRURIA) personifications of countries, nations, states, districts, etc. (ETRURIA)","45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)","45A232 peace and prosperity, 'Pax et Abundantia'",devisesetembleme00lafeu,http://emblematica.library.illinois.edu/detail/book/devisesetembleme00lafeu,"['25F23(LION) beasts of prey, predatory animals: lion', '25F23(WOLF) beasts of prey, predatory animals: wolf', '31D15 adult woman', '44A51(ETRURIA) personifications of countries, nations, states, districts, etc. (ETRURIA)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", ""45A232 peace and prosperity, 'Pax et Abundantia'""]",True
40,E016228,Zum Krieg und Frieden.,1695,25F33(EAGLE)(+5245) predatory birds: eagle (+ animal(s) holding something),25F33(EAGLE)(+526) predatory birds: eagle (+ animal(s) moving in the air),"25G3(OLIVE-TREE)(+22) trees: olive-tree (+ branch, stick)","26E2 lightning, flash of lightning, thunderbolt","44B1 ruler, sovereign","45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",devisesetembleme00lafeu,http://emblematica.library.illinois.edu/detail/book/devisesetembleme00lafeu,"['25F33(EAGLE)(+5245) predatory birds: eagle (+ animal(s) holding something)', '25F33(EAGLE)(+526) predatory birds: eagle (+ animal(s) moving in the air)', '25G3(OLIVE-TREE)(+22) trees: olive-tree (+ branch, stick)', '26E2 lightning, flash of lightning, thunderbolt', '44B1 ruler, sovereign', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)""]",True
41,E016440,Ich liebe das Trübe.,1695,21D water (one of the four elements),"25F24(CAMEL)(+5227) hoofed animals: camel (+ animal trampling, treading, stamping on someone or something)",25H113 (high) hill,25H212 brook,"44F revolution, revolt","45A10 symbols, allegories of war; 'Guerra' (Ripa)","51DD1(+4) Disorder, Confusion, Derangement, Disorganization, Chaos (+ emblematical representation of concept)",devisesetembleme00lafeu,http://emblematica.library.illinois.edu/detail/book/devisesetembleme00lafeu,"['21D water (one of the four elements)', '25F24(CAMEL)(+5227) hoofed animals: camel (+ animal trampling, treading, stamping on someone or something)', '25H113 (high) hill', '25H212 brook', '44F revolution, revolt', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '51DD1(+4) Disorder, Confusion, Derangement, Disorganization, Chaos (+ emblematical representation of concept)']",True
43,E016590,Der Lohn deß Krieges.,1695,"25F23(LION)(+63) beasts of prey, predatory animals: lion (+ dying animal; death of animal; dead animal)",25F711(FLY)(+45) insects: fly (+ animals eating and drinking),25F711(FLY)(+5262) insects: fly (+ flying animal(s)),"45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)","86(MERCES BELLI) proverbs, sayings, etc. (MERCES BELLI)",,devisesetembleme00lafeu,http://emblematica.library.illinois.edu/detail/book/devisesetembleme00lafeu,"['25F23(LION)(+63) beasts of prey, predatory animals: lion (+ dying animal; death of animal; dead animal)', '25F711(FLY)(+45) insects: fly (+ animals eating and drinking)', '25F711(FLY)(+5262) insects: fly (+ flying animal(s))', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '86(MERCES BELLI) proverbs, sayings, etc. (MERCES BELLI)']",True
46,E020539,Merces belli,1700,"25F23(LION)(+63) beasts of prey, predatory animals: lion (+ dying animal; death of animal; dead animal)",25F711(FLY)(+45) insects: fly (+ animals eating and drinking),25F711(FLY)(+5262) insects: fly (+ flying animal(s)),"45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)","86(MERCES BELLI) proverbs, sayings, etc. (MERCES BELLI)",,royalpoliticianr02saa,http://emblematica.library.illinois.edu/detail/book/royalpoliticianr02saa,"['25F23(LION)(+63) beasts of prey, predatory animals: lion (+ dying animal; death of animal; dead animal)', '25F711(FLY)(+45) insects: fly (+ animals eating and drinking)', '25F711(FLY)(+5262) insects: fly (+ flying animal(s))', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '86(MERCES BELLI) proverbs, sayings, etc. (MERCES BELLI)']",True
47,E020619,Ex bello pax,1611,25F38(OSTRICH)(+352) walker and runner birds: ostrich (+ feathers),25F711(BEE)(+5262) insects: bee (+ flying animal(s)),25H114 low hill country,25I3 farm or solitary house in landscape,"45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,nucleusemblematu00rolle,http://emblematica.library.illinois.edu/detail/book/nucleusemblematu00rolle,"['25F38(OSTRICH)(+352) walker and runner birds: ostrich (+ feathers)', '25F711(BEE)(+5262) insects: bee (+ flying animal(s))', '25H114 low hill country', '25I3 farm or solitary house in landscape', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
49,E021876,Vis imperio secura benigno.,1624,"25F23(LION)(+1) beasts of prey, predatory animals: lion (+ animals used symbolically)","25G3(OLIVE-TREE)(+22) trees: olive-tree (+ branch, stick)","44B192 sceptre, staff (symbol of sovereignty)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",52B41 Certainty,"53C11 Authority, Power; 'Dominio', 'Giurisdittione' (Ripa)","57A77 Friendliness, Gentleness, Affability; 'Affabilità, piacevolezza, amabilità', 'Animo piacevole, trattabile & amorevole', 'Benignità' (Ripa)",emblematasivesym00veen,http://emblematica.library.illinois.edu/detail/book/emblematasivesym00veen,"['25F23(LION)(+1) beasts of prey, predatory animals: lion (+ animals used symbolically)', '25G3(OLIVE-TREE)(+22) trees: olive-tree (+ branch, stick)', '44B192 sceptre, staff (symbol of sovereignty)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '52B41 Certainty', ""53C11 Authority, Power; 'Dominio', 'Giurisdittione' (Ripa)"", ""57A77 Friendliness, Gentleness, Affability; 'Affabilità, piacevolezza, amabilità', 'Animo piacevole, trattabile & amorevole', 'Benignità' (Ripa)""]",True
53,E025498,,1691,"25F23(LION) beasts of prey, predatory animals: lion","25F23(WOLF) beasts of prey, predatory animals: wolf",31D15 adult woman,"44A51(ETRURIA) personifications of countries, nations, states, districts, etc. (ETRURIA)","45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)","45A232 peace and prosperity, 'Pax et Abundantia'",huygens.knaw.nl_3Aemitx_3Af1691,http://emblematica.library.illinois.edu/detail/book/huygens.knaw.nl_3Aemitx_3Af1691,"['25F23(LION) beasts of prey, predatory animals: lion', '25F23(WOLF) beasts of prey, predatory animals: wolf', '31D15 adult woman', '44A51(ETRURIA) personifications of countries, nations, states, districts, etc. (ETRURIA)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", ""45A232 peace and prosperity, 'Pax et Abundantia'""]",True
54,E025544,,1691,25F33(EAGLE)(+5245) predatory birds: eagle (+ animal(s) holding something),25F33(EAGLE)(+526) predatory birds: eagle (+ animal(s) moving in the air),"25G3(OLIVE-TREE)(+22) trees: olive-tree (+ branch, stick)","26E2 lightning, flash of lightning, thunderbolt","44B1 ruler, sovereign","45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",huygens.knaw.nl_3Aemitx_3Af1691,http://emblematica.library.illinois.edu/detail/book/huygens.knaw.nl_3Aemitx_3Af1691,"['25F33(EAGLE)(+5245) predatory birds: eagle (+ animal(s) holding something)', '25F33(EAGLE)(+526) predatory birds: eagle (+ animal(s) moving in the air)', '25G3(OLIVE-TREE)(+22) trees: olive-tree (+ branch, stick)', '26E2 lightning, flash of lightning, thunderbolt', '44B1 ruler, sovereign', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)""]",True
55,E025756,,1691,21D water (one of the four elements),"25F24(CAMEL)(+5227) hoofed animals: camel (+ animal trampling, treading, stamping on someone or something)",25H113 (high) hill,25H212 brook,"44F revolution, revolt","45A10 symbols, allegories of war; 'Guerra' (Ripa)","51DD1(+4) Disorder, Confusion, Derangement, Disorganization, Chaos (+ emblematical representation of concept)",huygens.knaw.nl_3Aemitx_3Af1691,http://emblematica.library.illinois.edu/detail/book/huygens.knaw.nl_3Aemitx_3Af1691,"['21D water (one of the four elements)', '25F24(CAMEL)(+5227) hoofed animals: camel (+ animal trampling, treading, stamping on someone or something)', '25H113 (high) hill', '25H212 brook', '44F revolution, revolt', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '51DD1(+4) Disorder, Confusion, Derangement, Disorganization, Chaos (+ emblematical representation of concept)']",True
57,E025906,,1691,"25F23(LION)(+63) beasts of prey, predatory animals: lion (+ dying animal; death of animal; dead animal)",25F711(FLY)(+45) insects: fly (+ animals eating and drinking),25F711(FLY)(+5262) insects: fly (+ flying animal(s)),"45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)","86(MERCES BELLI) proverbs, sayings, etc. (MERCES BELLI)",,huygens.knaw.nl_3Aemitx_3Af1691,http://emblematica.library.illinois.edu/detail/book/huygens.knaw.nl_3Aemitx_3Af1691,"['25F23(LION)(+63) beasts of prey, predatory animals: lion (+ dying animal; death of animal; dead animal)', '25F711(FLY)(+45) insects: fly (+ animals eating and drinking)', '25F711(FLY)(+5262) insects: fly (+ flying animal(s))', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '86(MERCES BELLI) proverbs, sayings, etc. (MERCES BELLI)']",True
58,E027099,GREEK,1552,"25F23(BEAR) beasts of prey, predatory animals: bear","25F23(FOX) beasts of prey, predatory animals: fox","25F23(LION) beasts of prey, predatory animals: lion","25F23(WOLF) beasts of prey, predatory animals: wolf",25F33(EAGLE) predatory birds: eagle,25H11 mountains,45A1 war,FANa,http://emblematica.library.illinois.edu/detail/book/FANa,"['25F23(BEAR) beasts of prey, predatory animals: bear', '25F23(FOX) beasts of prey, predatory animals: fox', '25F23(LION) beasts of prey, predatory animals: lion', '25F23(WOLF) beasts of prey, predatory animals: wolf', '25F33(EAGLE) predatory birds: eagle', '25H11 mountains', '45A1 war']",True
59,E027200,LES DEUX BASTONS DE GUERRE.,1552,"11N1 Vice, Evil, Sin; 'Peccato' (Ripa)","25F23(BEAR) beasts of prey, predatory animals: bear","25F23(FOX) beasts of prey, predatory animals: fox","25F23(LION) beasts of prey, predatory animals: lion","25F23(WOLF) beasts of prey, predatory animals: wolf",25F33(EAGLE) predatory birds: eagle,25H11 mountains,FANb,http://emblematica.library.illinois.edu/detail/book/FANb,"[""11N1 Vice, Evil, Sin; 'Peccato' (Ripa)"", '25F23(BEAR) beasts of prey, predatory animals: bear', '25F23(FOX) beasts of prey, predatory animals: fox', '25F23(LION) beasts of prey, predatory animals: lion', '25F23(WOLF) beasts of prey, predatory animals: wolf', '25F33(EAGLE) predatory birds: eagle', '25H11 mountains']",True
60,E029184,PAX,1615,23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",31A2352 sitting on an elevation,31A244 head bent forward; bowing,31A247 looking over the shoulder,31A2512(+933) arm stretched forward (+ holding something),31A2513(+933) arm stretched sidewards (+ holding something),A15a,http://emblematica.library.illinois.edu/detail/book/A15a,"['23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '31A2352 sitting on an elevation', '31A244 head bent forward; bowing', '31A247 looking over the shoulder', '31A2512(+933) arm stretched forward (+ holding something)', '31A2513(+933) arm stretched sidewards (+ holding something)']",True
61,E029185,EX BELLO PAX.,1615,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",25G13 groups of plants (herbs),25H113 (high) hill,31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,A15a,http://emblematica.library.illinois.edu/detail/book/A15a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '25G13 groups of plants (herbs)', '25H113 (high) hill', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace']",True
62,E029396,Pax.,1621,23S14 Rome (one of the four world empires),"25F(+5227) animals (+ animal trampling, treading, stamping on someone or something)","25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",25H114 low hill country,26A clouds,31A2513(+933) arm stretched sidewards (+ holding something),31D14 adult man,A21a,http://emblematica.library.illinois.edu/detail/book/A21a,"['23S14 Rome (one of the four world empires)', '25F(+5227) animals (+ animal trampling, treading, stamping on someone or something)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '25H114 low hill country', '26A clouds', '31A2513(+933) arm stretched sidewards (+ holding something)', '31D14 adult man']",True
63,E029397,Ex bello pax.,1621,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A21a,http://emblematica.library.illinois.edu/detail/book/A21a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
64,E029477,EX BELLO PAX.,1531,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A31a,http://emblematica.library.illinois.edu/detail/book/A31a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
65,E029510,PAX.,1531,"11A Deity, God (in general) ~ Christian religion",23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",41B32 torch,43A festivities,"43A(+21) festivities (+ decorated float, wagon ~ festive activities)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",A31a,http://emblematica.library.illinois.edu/detail/book/A31a,"['11A Deity, God (in general) ~ Christian religion', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '41B32 torch', '43A festivities', '43A(+21) festivities (+ decorated float, wagon ~ festive activities)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
66,E029581,EX BELLO PAX.,1531,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A31b,http://emblematica.library.illinois.edu/detail/book/A31b,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
67,E029614,PAX.,1531,"11A Deity, God (in general) ~ Christian religion",23S14 Rome (one of the four world empires),"25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)",41B32 torch,43A festivities,"43A(+21) festivities (+ decorated float, wagon ~ festive activities)","45A10 symbols, allegories of war; 'Guerra' (Ripa)",A31b,http://emblematica.library.illinois.edu/detail/book/A31b,"['11A Deity, God (in general) ~ Christian religion', '23S14 Rome (one of the four world empires)', '25F25(ELEPHANT)(+81) trunked animals: elephant (+ animals used as cattle, livestock)', '41B32 torch', '43A festivities', '43A(+21) festivities (+ decorated float, wagon ~ festive activities)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)""]",True
68,E029685,EX BELLO PAX.,1534,"25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))",31A22611 blood,45A1 war,"45A10 symbols, allegories of war; 'Guerra' (Ripa)",45A2 peace,"45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A231 blessings of peace,A34a,http://emblematica.library.illinois.edu/detail/book/A34a,"['25F711(BEE)(+53) insects: bee (+ postures, positions of animal(s))', '31A22611 blood', '45A1 war', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '45A2 peace', ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A231 blessings of peace']",True
